,Country/region,Site,Site id,Depth (m),svo (kN/m2),s¢vo (kN/m2),s¢p (kN/m2),OCR ,LL (%) ,PL (%),PI (%) ,w (%) ,LI ,qc (kN/m2),qt (kN/m2),u0 (kN/m2),u2 (kN/m2),Bq ,St,"su,CIUC/s¢v0 ","su,CIUC (kN/m2)","su,CK0UC/s¢v0 ","su,CK0UC (kN/m2)","su,DSS/s¢v0 ","su,DSS (kN/m2)","su,CIUE/s¢v0 ","su,CIUE (kN/m2)","su,CK0UE/s¢v0 ","su,CK0UE (kN/m2)","su,UU/s¢v0 ","su,UU (kN/m2)","remolded su,UU (kN/m2)","su,UC/s¢v0 ","su,UC (kN/m2)","remolded su,UC (kN/m2)","su,VST/s¢v0 ","su,VST (kN/m2)","remolded su,VST (kN/m2)",Remolded su (kN/m2),su(mob)/s¢v0 ,su(mob) (kN/m2),su_mean,type
389,England,,126.0,,,413.82,827.64,2.0,,,,18.8,,,,,,,,,,,,,,0.376666667,155.8722,,,,,,,,,,,,,,,78.1244333335,
390,England,,126.0,,,206.91,827.64,4.0,,,,19.5,,,,,,,,,,,,,,0.573333333,118.6284,,,,,,,,,,,,,,,59.600866666499996,
391,England,,126.0,,,103.455,827.64,8.0,,,,20.7,,,,,,,,,,,,,,0.746666667,77.2464,,,,,,,,,,,,,,,38.9965333335,
392,England,,126.0,,,68.97,827.64,12.0,,,,21.2,,,,,,,,,,,,,,0.945,65.17665,,,,,,,,,,,,,,,33.060824999999994,
393,England,,126.0,,,34.485,827.64,24.0,,,,21.9,,,,,,,,,,,,,,1.25,43.10625,,,,,,,,,,,,,,,22.178125,
394,England,,126.0,,,206.91,206.91,1.0,,,,23.1,,,,,,,,,,,,,,0.246666667,51.0378,,,,,,,,,,,,,,,25.6422333335,
395,England,,126.0,,,34.485,413.82,12.0,,,,23.1,,,,,,,,,,,,,,1.03,35.51955,,,,,,,,,,,,,,,18.274775,
396,England,,126.0,,,206.91,827.64,4.0,,,,19.6,,,,,,,,,,,,,,0.558333333,115.52475,,,,,,,,,,,,,,,58.041541666499995,
397,England,,126.0,,,103.455,827.64,8.0,,,,20.3,,,,,,,,,,,,,,0.79,81.72945,,,,,,,,,,,,,,,41.259725,
398,England,,126.0,,,68.97,827.64,12.0,,,,21.1,,,,,,,,,,,,,,0.94,64.8318,,,,,,,,,,,,,,,32.8859,
399,England,,126.0,,,34.485,827.64,24.0,,,,22.2,,,,,,,,,,,,,,1.16,40.0026,,,,,,,,,,,,,,,20.5813,
400,Norway,Boring I,137.0,4.28356,,,,,43.2312,28.6941,14.5371,35.7355,0.484374463,,,,,,5.979825561,,,,,,,,,,,,,,,,,,40.6017,6.78978,6.78978,,42.08088173,24.0655354325,ML
401,Norway,Boring I,137.0,6.39,,,,,38.6884,25.7413,12.9471,35.0541,0.719296213,,,,,,5.83731652,,,,,,,,,,,,,,,,,,28.2473,4.83909,4.83909,,29.67564987,16.9002824675,ML
